date,cellvalue,n_cells,pct_cells
2014-05-15,15,531,0.051363900174114914
2014-05-15,17,3,2.901915264074289e-4
2014-05-15,21,1182,0.114335461404527
2014-05-15,NA,2184,0.21125943122460825
2014-06-15,3,597,0.05774811375507835
2014-06-15,7,341,0.032985103501644415
2014-06-15,11,3748,0.3625459469916812
2014-06-15,13,2,1.934610176049526e-4
2014-06-15,15,97,0.0093828593538402
2014-06-15,17,2,1.934610176049526e-4
2014-06-15,21,1477,0.1428709615012575
2014-06-15,NA,4074,0.3940800928612885
2014-07-15,3,312,0.030179918746372606
2014-07-15,5,1,9.67305088024763e-5
2014-07-15,7,401,0.038788934029793
2014-07-15,11,1610,0.15573611917198685
2014-07-15,13,4,3.869220352099052e-4
2014-07-15,14,39,0.0037724898432965758
2014-07-15,15,22,0.0021280711936544788
2014-07-15,17,5,4.836525440123815e-4
2014-07-15,21,1559,0.15080286322306055
2014-07-15,NA,6385,0.6176242987038112
2014-08-15,3,152,0.014703037337976397
2014-08-15,5,1,9.67305088024763e-5
2014-08-15,7,1985,0.19201005997291545
2014-08-15,11,537,0.051944283226929774
2014-08-15,13,10,9.67305088024763e-4
2014-08-15,14,95,0.00918939833623525
2014-08-15,15,28,0.0027084542464693366
2014-08-15,17,5,4.836525440123815e-4
2014-08-15,21,1386,0.13406848520023215
2014-08-15,NA,6139,0.593828593538402
2014-09-15,3,420,0.04062681369704005
2014-09-15,7,1766,0.17082607854517315
2014-09-15,11,277,0.026794350938285937
2014-09-15,13,3,2.901915264074289e-4
2014-09-15,14,49,0.004739794931321339
2014-09-15,15,162,0.015670342426001162
2014-09-15,21,1667,0.161249758173728
2014-09-15,NA,5994,0.579802669762043
2014-10-15,3,936,0.09053975623911782
2014-10-15,7,3010,0.2911588314954537
2014-10-15,11,369,0.03569355774811375
2014-10-15,13,10,9.67305088024763e-4
2014-10-15,14,21,0.0020313406848520023
2014-10-15,15,45,0.004352872896111433
2014-10-15,17,2,1.934610176049526e-4
2014-10-15,21,2711,0.2622364093635133
2014-10-15,NA,3234,0.3128264654672084
2014-11-15,3,1243,0.12023602244147805
2014-11-15,7,2451,0.2370864770748694
2014-11-15,11,1476,0.142774230992455
2014-11-15,13,3,2.901915264074289e-4
2014-11-15,14,11,0.0010640355968272394
2014-11-15,15,64,0.006190752563358483
2014-11-15,17,1,9.67305088024763e-5
2014-11-15,21,2839,0.2746179144902302
2014-11-15,27,2,1.934610176049526e-4
2014-11-15,NA,2248,0.2174501837879667
2014-12-15,3,412,0.03985296962662024
2014-12-15,7,1262,0.1220739021087251
2014-12-15,11,3026,0.2927065196362933
2014-12-15,15,494,0.04778487134842329
2014-12-15,17,1,9.67305088024763e-5
2014-12-15,21,4382,0.4238730895724512
2014-12-15,27,8,7.738440704198104e-4
2014-12-15,NA,753,0.07283807312826465
2015-01-15,3,8,7.738440704198104e-4
2015-01-15,7,226,0.021861094989359644
2015-01-15,11,4258,0.4118785064809441
2015-01-15,15,759,0.0734184561810795
2015-01-15,21,5030,0.4865544592764558
2015-01-15,27,1,9.67305088024763e-5
2015-01-15,NA,56,0.005416908492938673
2015-02-15,3,740,0.07158057651383247
2015-02-15,7,10,9.67305088024763e-4
2015-02-15,11,4088,0.3954343199845231
2015-02-15,13,4,3.869220352099052e-4
2015-02-15,15,1052,0.10176049526020507
2015-02-15,21,4100,0.3965950860901528
2015-02-15,NA,344,0.03327529502805185
2015-03-15,3,577,0.055813503579028825
2015-03-15,11,4491,0.4344167150319211
2015-03-15,13,1,9.67305088024763e-5
2015-03-15,15,737,0.07129038498742503
2015-03-15,17,6,5.803830528148578e-4
2015-03-15,21,4166,0.4029792996711163
2015-03-15,NA,360,0.034822983168891465
2015-04-15,3,212,0.020506867866124975
2015-04-15,11,2573,0.2488875991487715
2015-04-15,13,1,9.67305088024763e-5
2015-04-15,15,116,0.01122073902108725
2015-04-15,21,6545,0.6331011801122074
2015-04-15,NA,891,0.08618688334300638
2015-05-15,3,739,0.07148384600502998
2015-05-15,7,285,0.027568195008705745
2015-05-15,11,4350,0.4207777132907719
2015-05-15,13,3,2.901915264074289e-4
2015-05-15,15,67,0.006480944089765912
2015-05-15,21,3957,0.3827626233313987
2015-05-15,NA,937,0.0906364867479203
2015-06-15,3,1266,0.122460824143935
2015-06-15,7,186,0.017991874637260593
2015-06-15,11,4176,0.403946604759141
2015-06-15,13,20,0.001934610176049526
2015-06-15,15,478,0.046237183207583674
2015-06-15,17,1,9.67305088024763e-5
2015-06-15,21,1731,0.1674405107370865
2015-06-15,27,2,1.934610176049526e-4
2015-06-15,NA,2478,0.23969820081253626
2015-07-15,3,425,0.041110466241052426
2015-07-15,5,3,2.901915264074289e-4
2015-07-15,7,923,0.08928225962468563
2015-07-15,11,4291,0.4150706132714258
2015-07-15,13,2,1.934610176049526e-4
2015-07-15,15,92,0.00889920680982782
2015-07-15,17,5,4.836525440123815e-4
2015-07-15,21,1561,0.1509963242406655
2015-07-15,27,3,2.901915264074289e-4
2015-07-15,NA,3033,0.2933836331979106
2015-08-15,3,288,0.027858386535113175
2015-08-15,7,1658,0.1603791835945057
2015-08-15,11,831,0.0803830528148578
2015-08-15,13,3,2.901915264074289e-4
2015-08-15,14,18,0.0017411491584445734
2015-08-15,15,181,0.01750822209324821
2015-08-15,17,9,8.705745792222867e-4
2015-08-15,21,1240,0.11994583091507062
2015-08-15,NA,6110,0.5910234087831302
2015-09-15,3,380,0.036757593344941
2015-09-15,5,5,4.836525440123815e-4
2015-09-15,7,1180,0.11414200038692203
2015-09-15,11,225,0.02176436448055717
2015-09-15,13,14,0.0013542271232346683
2015-09-15,14,1,9.67305088024763e-5
2015-09-15,15,516,0.04991294254207777
2015-09-15,17,9,8.705745792222867e-4
2015-09-15,21,2001,0.1935577481137551
2015-09-15,NA,6007,0.5810601663764752
2015-10-15,3,164,0.015863803443606113
2015-10-15,7,1021,0.0987618494873283
2015-10-15,11,535,0.05175082220932482
2015-10-15,13,2,1.934610176049526e-4
2015-10-15,15,23,0.002224801702456955
2015-10-15,17,1,9.67305088024763e-5
2015-10-15,21,1754,0.16966531243954344
2015-10-15,NA,6838,0.661443219191333
2015-11-15,3,450,0.04352872896111434
2015-11-15,5,1,9.67305088024763e-5
2015-11-15,7,1722,0.1665699361578642
2015-11-15,11,2957,0.2860321145289224
2015-11-15,13,3,2.901915264074289e-4
2015-11-15,15,139,0.013445540723544206
2015-11-15,21,1979,0.1914296769201006
2015-11-15,NA,3087,0.2986070806732443
2015-12-15,3,467,0.045173147610756435
2015-12-15,7,198,0.019152640742890307
2015-12-15,11,4759,0.4603404913909847
2015-12-15,13,4,3.869220352099052e-4
2015-12-15,15,500,0.04836525440123815
2015-12-15,21,1903,0.1840781582511124
2015-12-15,NA,2507,0.2425033855678081
2016-01-15,3,460,0.0444960340491391
2016-01-15,7,48,0.0046430644225188625
2016-01-15,11,4487,0.4340297929967112
2016-01-15,13,12,0.0011607661056297156
2016-01-15,15,1848,0.1787579802669762
2016-01-15,17,15,0.0014509576320371445
2016-01-15,21,1938,0.18746372605919906
2016-01-15,NA,1530,0.14799767846778875
2016-02-15,3,2154,0.20835751596053395
2016-02-15,11,2660,0.257303153414587
2016-02-15,13,27,0.00261172373766686
2016-02-15,15,2393,0.2314761075643258
2016-02-15,17,1,9.67305088024763e-5
2016-02-15,21,2211,0.2138711549622751
2016-02-15,NA,892,0.08628361385180885
2016-03-15,3,1145,0.11075643257883537
2016-03-15,11,1445,0.13977558521957825
2016-03-15,13,60,0.005803830528148578
2016-03-15,15,3441,0.332849680789321
2016-03-15,17,4,3.869220352099052e-4
2016-03-15,21,3689,0.3568388469723351
2016-03-15,27,9,8.705745792222867e-4
2016-03-15,NA,545,0.052718127297349586
2016-04-15,3,387,0.03743470690655833
2016-04-15,11,2714,0.2625266008899207
2016-04-15,13,17,0.0016444186496420972
2016-04-15,15,1962,0.1897852582704585
2016-04-15,17,3,2.901915264074289e-4
2016-04-15,21,4311,0.4170052234474753
2016-04-15,NA,944,0.09131360030953763
2016-05-15,3,43,0.004159411878506481
2016-05-15,7,105,0.010156703424260012
2016-05-15,11,2603,0.2517895144128458
2016-05-15,13,1,9.67305088024763e-5
2016-05-15,15,2863,0.2769394467014896
2016-05-15,21,4471,0.4324821048558715
2016-05-15,27,1,9.67305088024763e-5
2016-05-15,NA,251,0.02427935770942155
2016-06-15,3,303,0.02930934416715032
2016-06-15,5,1,9.67305088024763e-5
2016-06-15,7,1094,0.10582317662990907
2016-06-15,11,4828,0.4670148964983556
2016-06-15,13,5,4.836525440123815e-4
2016-06-15,15,735,0.07109692396982008
